RAND DIM:	COND AVG:	COND MAX:	||A - PLTL^tP^t|| AVG	||A - PLTL^tP^t|| MAX	dx/x[float128]AVG	dx/x[float128]MAX	db/b[float128]AVG	db/b[float128]MAX
10	240605.008441	2358181.30352	2.22116185539e-18	3.18856144815e-18	2.26416570268e-12	2.26416570268e-12	1.21046331421e-16	1.21046331421e-16
11	988170.823492	9849522.01773	2.35152311759e-18	3.25700811055e-18	1.73922952346e-11	1.73922952346e-11	1.227723078e-16	1.227723078e-16
12	171753.188672	1603738.76502	3.1086623844e-18	4.1813884178e-18	4.20160542844e-13	4.20160542844e-13	1.3284465825e-16	1.3284465825e-16
13	152847.096522	1511288.5119	3.34102577226e-18	4.34214171846e-18	6.18648847675e-13	6.18648847675e-13	1.28592428795e-16	1.28592428795e-16
14	19718.8236531	180960.551166	3.81196156914e-18	7.10964076233e-18	2.17473183797e-13	2.17473183797e-13	1.33800560146e-16	1.33800560146e-16
15	44314.9211993	300761.210738	4.19112247997e-18	6.13444628802e-18	1.05471453738e-13	1.05471453738e-13	1.48908486055e-16	1.48908486055e-16
16	29602.1630641	279588.959744	5.3580466643e-18	6.26666276491e-18	1.74392667372e-13	1.74392667372e-13	1.47533799343e-16	1.47533799343e-16
17	45401.2291637	412270.263189	5.79910813554e-18	7.04374264652e-18	2.63941064131e-13	2.63941064131e-13	1.35135178556e-16	1.35135178556e-16
18	239011.932726	1941110.48332	6.38391627226e-18	7.95028716008e-18	1.937911875e-12	1.937911875e-12	1.42433157191e-16	1.42433157191e-16
19	214718.222482	1608966.72103	7.81410454854e-18	9.06529341775e-18	1.02737914673e-12	1.02737914673e-12	1.36063293658e-16	1.36063293658e-16
20	15016.9466605	59090.6419378	8.12201985812e-18	1.04543056021e-17	1.21106966184e-13	1.21106966184e-13	1.51485302314e-16	1.51485302314e-16
21	46217.9511594	256878.499631	9.10883818609e-18	1.06426262199e-17	6.89487540292e-13	6.89487540292e-13	1.84468991579e-16	1.84468991579e-16
