RAND DIM:	COND AVG:	COND MAX:	||A - PLDL^tP^t|| AVG	||A - PLDL^tP^t|| MAX	dx/x[float128]AVG	dx/x[float128]MAX	db/b[float128]AVG	db/b[float128]MAX
10	240605.008441	2358181.30352	1.49436293827e-18	1.85822890289e-18	2.27638599167e-12	2.27638599167e-12	1.21046331421e-16	1.21046331421e-16
11	988170.823492	9849522.01773	1.76029080366e-18	2.59544164145e-18	1.73659598337e-11	1.73659598337e-11	1.227723078e-16	1.227723078e-16
12	171753.188672	1603738.76502	2.50597842797e-18	3.70001365988e-18	4.42098911961e-13	4.42098911961e-13	1.3284465825e-16	1.3284465825e-16
13	152847.096522	1511288.5119	2.68506376161e-18	3.68775694482e-18	6.07230116674e-13	6.07230116674e-13	1.28592428795e-16	1.28592428795e-16
14	19718.8236531	180960.551166	3.53024064528e-18	5.8969535892e-18	2.17171195534e-13	2.17171195534e-13	1.33800560146e-16	1.33800560146e-16
15	44314.9211993	300761.210738	3.60481329052e-18	4.72950189007e-18	1.04267173308e-13	1.04267173308e-13	1.48908486055e-16	1.48908486055e-16
16	29602.1630641	279588.959744	4.4120774576e-18	5.51912421038e-18	1.74850307795e-13	1.74850307795e-13	1.47533799343e-16	1.47533799343e-16
17	45401.2291637	412270.263189	5.30131565748e-18	6.4798372564e-18	2.72329176911e-13	2.72329176911e-13	1.35135178556e-16	1.35135178556e-16
18	239011.932726	1941110.48332	5.79490701491e-18	8.77745614987e-18	1.88113971751e-12	1.88113971751e-12	1.42433157191e-16	1.42433157191e-16
19	214718.222482	1608966.72103	6.45663040204e-18	7.91009127086e-18	1.02031901956e-12	1.02031901956e-12	1.36063293658e-16	1.36063293658e-16
20	15016.9466605	59090.6419378	7.02704474173e-18	8.52006758242e-18	1.21211787843e-13	1.21211787843e-13	1.51485302314e-16	1.51485302314e-16
21	46217.9511594	256878.499631	8.10447260154e-18	1.01792606542e-17	6.92916244814e-13	6.92916244814e-13	1.84468991579e-16	1.84468991579e-16
22	207601.230214	1717124.38714	8.35995327826e-18	1.04573006761e-17	6.34227696412e-13	6.34227696412e-13	1.53519539485e-16	1.53519539485e-16
23	556808.402125	5225285.95094	8.87479989111e-18	9.83223002412e-18	3.34207861971e-12	3.34207861971e-12	1.67451057163e-16	1.67451057163e-16
24	2635669.27462	24753608.2545	1.00570843101e-17	1.19201622212e-17	3.73489686427e-11	3.73489686427e-11	1.7078872652e-16	1.7078872652e-16
25	61489.698864	314331.765447	1.09496337901e-17	1.45389942321e-17	3.24367054122e-13	3.24367054122e-13	1.55263500454e-16	1.55263500454e-16
26	23972.6425349	105146.697296	1.12826048527e-17	1.26557240059e-17	1.54374970973e-13	1.54374970973e-13	1.65613450156e-16	1.65613450156e-16
27	74044.3145018	449968.527506	1.34290704717e-17	1.58956874042e-17	2.36574499278e-13	2.36574499278e-13	1.51590129121e-16	1.51590129121e-16
28	122541.570773	1096308.63133	1.46413778086e-17	1.87986009405e-17	3.57147970659e-12	3.57147970659e-12	1.86361622454e-16	1.86361622454e-16
29	59028.6305095	490425.560559	1.42002678282e-17	1.64759633895e-17	4.94000512296e-13	4.94000512296e-13	1.78966333242e-16	1.78966333242e-16
30	25338.0813873	55329.855018	1.63762100437e-17	1.8345867344e-17	2.0840194157e-13	2.0840194157e-13	1.78854339157e-16	1.78854339157e-16
31	193447.20195	1170935.10311	1.72568580948e-17	1.88009115125e-17	1.07013519699e-12	1.07013519699e-12	1.67060877519e-16	1.67060877519e-16
32	32507.2007313	76520.1973652	1.8091101938e-17	2.04130933537e-17	3.06682571296e-13	3.06682571296e-13	1.65954493693e-16	1.65954493693e-16
33	13992.2680105	48961.2030728	2.06059816094e-17	2.23895657367e-17	1.34036512376e-13	1.34036512376e-13	1.82081470447e-16	1.82081470447e-16
34	1855652.56483	18156247.1858	2.13967293302e-17	2.41193256259e-17	2.46437748413e-12	2.46437748413e-12	1.73621380652e-16	1.73621380652e-16
35	171932.395299	1107622.01644	2.26727944354e-17	2.66276913728e-17	7.48691778554e-13	7.48691778554e-13	1.67956619166e-16	1.67956619166e-16
36	568569.751061	4088916.93891	2.30934739829e-17	2.8367287938e-17	5.94867312519e-13	5.94867312519e-13	1.93905043985e-16	1.93905043985e-16
37	482162.994924	3300729.67422	2.38782983572e-17	2.62136610093e-17	2.056660378e-12	2.056660378e-12	1.81914789347e-16	1.81914789347e-16
38	15053.1406548	65244.4171761	2.60529009908e-17	3.07222249759e-17	1.87116220442e-13	1.87116220442e-13	1.76966863942e-16	1.76966863942e-16
39	421742.158453	3962724.04658	2.73844480301e-17	3.09139412633e-17	3.70959860078e-12	3.70959860078e-12	1.76890444359e-16	1.76890444359e-16
40	17382.0601201	67641.8482239	2.92773425855e-17	3.18453540257e-17	9.86296679296e-14	9.86296679296e-14	1.78771678261e-16	1.78771678261e-16
41	55597.2593864	328649.361998	2.99376902923e-17	3.50998627386e-17	3.33099342968e-13	3.33099342968e-13	1.82657664918e-16	1.82657664918e-16
42	793498.779926	7854973.3984	3.117652714e-17	3.46342726639e-17	3.54625737224e-13	3.54625737224e-13	1.88263523392e-16	1.88263523392e-16
43	620689.316596	5827102.15645	3.34821195502e-17	3.82724279081e-17	1.85245812313e-12	1.85245812313e-12	1.96920309736e-16	1.96920309736e-16
44	1584810.51994	9034565.56113	3.2656546935e-17	3.7398423989e-17	1.91636984078e-11	1.91636984078e-11	1.93803320717e-16	1.93803320717e-16
45	337371.024474	2461282.07857	3.68191901354e-17	4.08353914467e-17	3.75641288947e-12	3.75641288947e-12	2.16149097369e-16	2.16149097369e-16
46	96398.6780335	472645.666734	3.7614902286e-17	4.0681523499e-17	4.43405894078e-13	4.43405894078e-13	2.07596960687e-16	2.07596960687e-16
47	159856.27969	1058980.18302	3.98938420465e-17	4.44537723878e-17	1.77136847345e-12	1.77136847345e-12	2.03115506989e-16	2.03115506989e-16
48	496533.417943	3071589.98761	4.09764130313e-17	4.3425114015e-17	2.29845175443e-12	2.29845175443e-12	2.11346402356e-16	2.11346402356e-16
49	112933.363497	712766.171773	4.35008762914e-17	4.8654261437e-17	1.10520624497e-12	1.10520624497e-12	2.01061481512e-16	2.01061481512e-16
50	1404099.93309	10623399.3425	4.59215193719e-17	5.15029403947e-17	1.87245274236e-11	1.87245274236e-11	1.79221232064e-16	1.79221232064e-16
51	359938.218302	3299723.25063	4.4964634512e-17	4.85451636236e-17	6.21393086881e-12	6.21393086881e-12	2.0697911361e-16	2.0697911361e-16
52	66949.5362849	168073.8273	4.71090302259e-17	5.2597963758e-17	4.51921288771e-13	4.51921288771e-13	2.21921166184e-16	2.21921166184e-16
53	361504.22071	3246739.0942	5.07320777665e-17	5.33277099321e-17	3.16435231459e-13	3.16435231459e-13	2.07816678777e-16	2.07816678777e-16
54	196925.600127	1252070.79516	5.13321623215e-17	5.35850899722e-17	4.71342650413e-13	4.71342650413e-13	2.13102504847e-16	2.13102504847e-16
55	68116.6405141	258127.502146	5.34465933508e-17	5.9767488328e-17	5.97468902941e-13	5.97468902941e-13	2.09738807941e-16	2.09738807941e-16
56	52764.6437733	318722.883826	5.73422870389e-17	6.0981127337e-17	6.25807437854e-13	6.25807437854e-13	2.3621533343e-16	2.3621533343e-16
57	144521.891259	458081.45331	6.03524797556e-17	6.73918371798e-17	6.87943595539e-13	6.87943595539e-13	2.23883136698e-16	2.23883136698e-16
58	174811.169221	814936.580613	6.01498804512e-17	6.45210454449e-17	1.64927564607e-12	1.64927564607e-12	2.16676535776e-16	2.16676535776e-16
59	44906.5864043	355387.353451	6.28979262118e-17	7.09977566738e-17	1.35282199406e-13	1.35282199406e-13	2.24539201443e-16	2.24539201443e-16
60	580399.396025	2836229.42657	6.50361750081e-17	6.99408059303e-17	4.11382140695e-12	4.11382140695e-12	2.38659724406e-16	2.38659724406e-16
61	50128.2332795	225186.448522	6.78218285166e-17	7.47601277739e-17	3.5839510945e-13	3.5839510945e-13	2.22028891975e-16	2.22028891975e-16
62	165209.84913	690763.312358	6.88207320875e-17	7.6584314093e-17	1.21473518626e-12	1.21473518626e-12	2.20767960054e-16	2.20767960054e-16
63	4098311.36755	35926124.5125	7.25812022619e-17	7.68455406276e-17	2.89757149977e-11	2.89757149977e-11	2.22708360421e-16	2.22708360421e-16
64	605816.203143	5367350.85633	7.49246407747e-17	7.99118402905e-17	6.70675110596e-12	6.70675110596e-12	2.16653588587e-16	2.16653588587e-16
65	164936.04076	1126919.40457	7.63833471711e-17	8.57993802281e-17	1.46344918262e-12	1.46344918262e-12	2.55960259426e-16	2.55960259426e-16
66	8373360.05827	82086504.8056	7.87410119473e-17	8.28319372886e-17	6.31187945102e-11	6.31187945102e-11	2.80948977128e-16	2.80948977128e-16
67	239852.867405	1110931.23264	7.96378986697e-17	8.30979720206e-17	7.26364089965e-13	7.26364089965e-13	2.66488250305e-16	2.66488250305e-16
68	79353.1571477	425419.18914	8.30749741983e-17	8.89319558179e-17	5.30679795287e-13	5.30679795287e-13	2.70084951694e-16	2.70084951694e-16
69	293070.146544	2184622.2425	8.30261423223e-17	8.8661151076e-17	7.25213873087e-13	7.25213873087e-13	2.59975802054e-16	2.59975802054e-16
70	12500845.9061	114938309.894	9.10445807738e-17	9.69401344678e-17	1.70660781148e-11	1.70660781148e-11	2.81001897614e-16	2.81001897614e-16
71	105005.11459	663898.376214	9.20550263535e-17	1.0060536495e-16	6.78989066018e-13	6.78989066018e-13	2.62480366489e-16	2.62480366489e-16
72	87768422.7882	869088007.139	9.65956400998e-17	1.0226371861e-16	5.59520121608e-10	5.59520121608e-10	2.68739495836e-16	2.68739495836e-16
73	4005176.99789	33820373.2259	9.63298258188e-17	1.00004152065e-16	1.84881064448e-11	1.84881064448e-11	2.63110911467e-16	2.63110911467e-16
74	11514778.6021	98611511.7086	1.02972651255e-16	1.1541652355e-16	9.82797815117e-11	9.82797815117e-11	2.71015237957e-16	2.71015237957e-16
75	373702.695113	2710769.92408	1.05759302818e-16	1.12955992726e-16	1.65990850267e-12	1.65990850267e-12	2.47687678786e-16	2.47687678786e-16
76	3580656.8384	34641997.0977	1.04328182752e-16	1.14900121189e-16	3.90216719787e-11	3.90216719787e-11	2.46326151126e-16	2.46326151126e-16
77	165298.119415	775212.321648	1.09581220968e-16	1.15449235599e-16	5.17080661266e-13	5.17080661266e-13	2.59373185328e-16	2.59373185328e-16
78	409249.812839	3430794.79888	1.07807586391e-16	1.12662874755e-16	2.08127105117e-12	2.08127105117e-12	2.45883983552e-16	2.45883983552e-16
79	6209315.54206	56470849.1053	1.14140164596e-16	1.27363505391e-16	4.33414632731e-11	4.33414632731e-11	2.53624037625e-16	2.53624037625e-16
80	142099.248465	463322.766181	1.1547060759e-16	1.27598595984e-16	7.80515508684e-13	7.80515508684e-13	2.60100383415e-16	2.60100383415e-16
81	836914.455542	6361779.98843	1.18802677964e-16	1.24748449538e-16	1.88085218589e-12	1.88085218589e-12	2.61033018712e-16	2.61033018712e-16
82	228949.804161	1374359.88754	1.22596972675e-16	1.30322544675e-16	1.53906302031e-12	1.53906302031e-12	2.32695246923e-16	2.32695246923e-16
83	106947.566597	262294.322615	1.25083262446e-16	1.32956202713e-16	4.73229914985e-13	4.73229914985e-13	2.48838948828e-16	2.48838948828e-16
84	213730.896528	1821242.9843	1.28112438016e-16	1.39578920065e-16	1.45885785852e-12	1.45885785852e-12	2.49969376096e-16	2.49969376096e-16
85	2721271.59097	17909273.4145	1.3225710142e-16	1.41549715523e-16	7.45815012368e-12	7.45815012368e-12	2.58046643745e-16	2.58046643745e-16
86	6468528.69514	60517909.6665	1.33670563388e-16	1.47034398571e-16	1.2020924013e-10	1.2020924013e-10	2.60584911547e-16	2.60584911547e-16
87	11299622.9869	110310140.122	1.36013628959e-16	1.43627024828e-16	4.57169037101e-11	4.57169037101e-11	2.64160377955e-16	2.64160377955e-16
88	1002282.56272	5277172.69396	1.3779178813e-16	1.44526937213e-16	6.46372801569e-12	6.46372801569e-12	2.5671233964e-16	2.5671233964e-16
89	656540.339394	3623818.03563	1.39456643092e-16	1.543432496e-16	4.68350907508e-12	4.68350907508e-12	2.6797489703e-16	2.6797489703e-16
90	63168051.5255	605554010.062	1.45122392957e-16	1.59207787998e-16	1.28670910587e-10	1.28670910587e-10	2.50588969962e-16	2.50588969962e-16
91	567452.266213	3729455.63376	1.50574551964e-16	1.63088091418e-16	3.18389569158e-12	3.18389569158e-12	2.48352905097e-16	2.48352905097e-16
92	6281769.42273	58620558.5871	1.5421409758e-16	1.75205930642e-16	4.41462266778e-11	4.41462266778e-11	2.56814296309e-16	2.56814296309e-16
93	18999137.9286	187782561.401	1.53477066727e-16	1.57771670818e-16	4.80430255351e-11	4.80430255351e-11	2.57616023257e-16	2.57616023257e-16
94	58065962.6655	580151978.41	1.56540186682e-16	1.65700943031e-16	1.39217854539e-10	1.39217854539e-10	2.60000539929e-16	2.60000539929e-16
95	31525077.0945	312448456.26	1.62102158074e-16	1.7185180754e-16	1.87749671507e-10	1.87749671507e-10	2.51060824182e-16	2.51060824182e-16
96	251025.817869	1718950.66455	1.65183265514e-16	1.80605520347e-16	6.67637782428e-13	6.67637782428e-13	2.50504869019e-16	2.50504869019e-16
97	501047.726565	3400426.60298	1.66873464676e-16	1.79975145552e-16	2.41920846598e-12	2.41920846598e-12	2.72525184888e-16	2.72525184888e-16
98	11372439.2833	108372605.676	1.72184476995e-16	1.92337194195e-16	3.03177393931e-11	3.03177393931e-11	2.70742349864e-16	2.70742349864e-16
99	8460569.84866	82394646.1546	1.7325003443e-16	1.84541349986e-16	6.85463700583e-11	6.85463700583e-11	2.58979964555e-16	2.58979964555e-16
100	717586.766063	4987835.81911	1.73766419785e-16	1.83203782555e-16	2.64751146097e-12	2.64751146097e-12	2.97155089204e-16	2.97155089204e-16
